Workplace Example,Element Name,Hot Technology,In Demand
Automated timekeeping software,Time accounting software,N,N
Automated underwriting software,Financial analysis software,N,N
Automatic Data Processing AdvancedMD EHR,Medical software,N,N
Automatic Data Processing Autosource,Document management software,N,N
Automatic Data Processing Claims Manager & Dispatch,Document management software,N,N
Automatic Data Processing Estimating,Financial analysis software,N,N
Automatic Data Processing PC payroll for windows PCPW,Human resources software,N,N
Automatic Data Processing ProxyEdge,Word processing software,N,N
Automatic Forecasting Systems Autobox,Analytical or scientific software,N,N
Automatic call distribution software,Helpdesk or call center software,N,N
Automatic dynamic incremental nonlinear analysis ADINA,Analytical or scientific software,N,N
Automatic routing software,Route navigation software,N,N
Automatic test program generation ATPG,Analytical or scientific software,N,N
Automation Centre Personnel Tracker,Data base user interface and query software,N,N
Automation Centre TrackerSuite.Net,Project management software,N,N
Automation Counselors municiPAL,Accounting software,N,N
Automation Studio,Analytical or scientific software,N,N
Automotive and Accounting Software by R*KOM Invoice Writer,Point of sale POS software,N,N
Autonomy iManage WorkSite,Document management software,N,N
Autopilot software,Expert system software,N,N
Autopsy information databases,Data base user interface and query software,N,N
Autotask,Enterprise resource planning ERP software,N,N
Auxillium West HRnetSource,Human resources software,N,N
Avaaz Innovations AphasiaMate,Medical software,N,N
Avaaz Innovations Computerized Speech Research Environment CSRE,Analytical or scientific software,N,N
Avaaz Innovations Interactive Voice Analysis System IVANS,Medical software,N,N
Availability prediction modeling software,Analytical or scientific software,N,N
Available Safe Egress Time ASET,Analytical or scientific software,N,N
Avalara AvaTax ST,Tax preparation software,N,N
Avaya Identity Engines,Access software,N,N
Avenista Table Reservations,Data base user interface and query software,N,N
Aveva Group Plant Design Management System PDMS,Computer aided design CAD software,N,N
Avid Digidesign Pro Tools,Music or sound editing software,N,N
Avid Media Composer,Video creation and editing software,N,N
Avid Pro Tools,Music or sound editing software,N,N
Avid Technology Media Composer,Video creation and editing software,N,N
Avid Technology NewsCutter,Video creation and editing software,N,N
Avid Technology Pinnacle Studio,Video creation and editing software,N,N
Avid Technology Pro Tools,Music or sound editing software,N,N
Avid Technology Sibelius,Music or sound editing software,N,N
Avid Technology audio visual editing software,Video creation and editing software,N,N
Avid Technology iNEWS,Video creation and editing software,N,N
Avidian Technologies Prophet,Customer relationship management CRM software,N,N
Avionics system testing software,Analytical or scientific software,N,N
Avis Fits Viewer,Graphics or photo imaging software,N,N
Avreo Radiology Workflow Solutions,Medical software,N,N
Axentis Compliance Management,Compliance software,N,N
Axios Systems assyst,Document management software,N,N
Axistive BigShot Screen Magnifier,Device drivers or system software,N,N
Axonwave Fraud and Abuse Management System,Expert system software,N,N
Axure RP,Web page creation and editing software,N,N
Axway eSubmissions,Document management software,N,N
Axxya Systems Nutritionist Pro,Analytical or scientific software,N,N
Aya Associates Comp-U-Floor,Data base user interface and query software,N,N
AzTechSoft GPS2CAD,Computer aided design CAD software,N,N
Azalea Health Azalea EHR,Medical software,N,N
Azemus FS,Music or sound editing software,N,N
Aztec,Analytical or scientific software,N,N
B Sharp Technologies B Care,Medical software,N,N
B&I Computer Consultants Childcare Sage,Enterprise resource planning ERP software,N,N
B&W Port Scanner,Network monitoring software,N,N
B-Method,Development environment software,N,N
BAE Systems SOCET GXP,Map creation software,N,N
BAE Systems SOCET SET,Map creation software,N,N
BCCORP Burkitt W5,Document management software,N,N
BCCORP W5 for Adjusters,Document management software,N,N
BCL Landview Systems WinCrop,Data base user interface and query software,N,N
BCS Woodlands Software The Logger Tracker,Accounting software,N,N
BCS Woodlands Software Woodlands Tracker,Enterprise resource planning ERP software,N,N
BCS Woodlands Systems The Logger Tracker,Data base user interface and query software,N,N
BD Biosciences CellQuest,Analytical or scientific software,N,N
BD Biosciences CloneCyt,Analytical or scientific software,N,N
BEA Tuxedo,Transaction server software,N,N
BEMAS PayDirect,Human resources software,N,N
BERMUDA nuclear transport computer codes,Analytical or scientific software,N,N
BESA EEGFocus,Medical software,N,N
BIO-key FireRMS,Data base user interface and query software,N,N
BIT Corp ProMACS PLC,Industrial control software,N,N
BLAT,Analytical or scientific software,N,N
BLS Software Invoice!,Billing and invoicing software,N,N
BMC Software Change Manager,Data base management system software,N,N
BMC Software Control-M,Enterprise application integration software,N,N
BMC Software Recovery Manager RMAN,Backup or archival software,N,N
BMC Software Remedy IT Service Management Suite,Helpdesk or call center software,N,N
BMH Open4 Payroll,Time accounting software,N,N
BNA Corporate Tax Audit Analyzer,Financial analysis software,N,N
BNA Estate and Gift Tax Suite,Tax preparation software,N,N
BNA Income Tax Planning Solutions,Tax preparation software,N,N
BNA Sales and Use Tax Rates and Forms,Tax preparation software,N,N
BOSS Didger,Data conversion software,N,N
BOSS International Visual Groundwater,Computer aided design CAD software,N,N
BPM_CAD,Analytical or scientific software,N,N
BPS Compliance,Compliance software,N,N
BQE Software ArchiOffice,Office suite software,N,N
BQE Software BillQuick,Billing and invoicing software,N,N
BRB Software HorizonMIS,Medical software,N,N
BRCAPRO,Medical software,N,N
BSI ComplianceFactory,Compliance software,N,N
BSVC,Analytical or scientific software,N,N
BWA,Analytical or scientific software,N,N
BWise Compliance Management,Compliance software,N,N
Babcock Winx Pro,Medical software,N,N
Babylon Online Translator,Foreign language software,N,N
Backbone.js,Web platform development software,N,N
Background checking software,Human resources software,N,N
Backup and archival software,Backup or archival software,N,N
Balsamiq Studios Balsamiq Mockups,Graphics or photo imaging software,N,N
Bankers Systems Rembrandt Lending System,Financial analysis software,N,N
BarControl Enterprise Manager iBEM,Inventory management software,N,N
Barcode labeling software,Label making software,N,N
Barcode reader software,Bar coding software,N,N
Barcode software,Bar coding software,N,N
Bare Bones Software BBEdit,Data base management system software,N,N
Bargaining Power,Human resources software,N,N
Baron Services FasTrac,Analytical or scientific software,N,N
Baron Volumetric Imaging and Processing of Integrated Radar VIPIR,Analytical or scientific software,N,N
Barrington Software CookenPro,Data base user interface and query software,N,N
Barrington Software CookenPro Commercial,Data base user interface and query software,N,N
Basecamp,Project management software,N,N
Bash,Operating system software,Y,N
Bashen EEOFedSoft,Compliance software,N,N
Bashen EEOSoft,Compliance software,N,N
Bashen LinkLine,Human resources software,N,N
Basic Local Alignment Search Tool BLAST,Analytical or scientific software,N,N
Basic Music Composer,Music or sound editing software,N,N
Basis BBx VisualPRO/5,Graphical user interface development software,N,N
Beam analysis software,Medical software,N,N
BeamChek,Analytical or scientific software,N,N
Beaver Creek Software The THERAPIST,Medical software,N,N
Bechtel Software SETROUTE,Data base user interface and query software,N,N
Beck Anxiety Inventory,Medical software,N,N
Beck Depression Inventory,Medical software,N,N
Bed Management Suite,Materials requirements planning logistics and supply chain software,N,N
Beeline Learning Management System LMS,Computer based training software,N,N
Beginner's all-purpose symbolic instruction code BASIC,Development environment software,N,N
BehavePlus,Analytical or scientific software,N,N
Behavioral Assessment and Research System BARS,Medical software,N,N
Beige Bag Software B2 Spice,Analytical or scientific software,N,N
Bella FSM Auto Detailing Service Software,Data base user interface and query software,N,N
Belmar & Associates Mortware,Data base user interface and query software,N,N
Ben Meadows Yeoman Expedition,Map creation software,N,N
BenAssist,Human resources software,N,N
Benaissance COBRApoint,Human resources software,N,N
Benchmark Systems Benchmark Clinical EHR,Medical software,N,N
BeneLink Connect,Human resources software,N,N
BeneXL Technologies Pension Administration System,Human resources software,N,N
Benefit Plan Systems Corporation The Plan Administrator,Human resources software,N,N
Benefit Software Fringe Facts,Human resources software,N,N
BenefitFocus HR in Touch,Human resources software,N,N
Benefits Technology Group SalesLogix,Customer relationship management CRM software,N,N
Benelogic,Human resources software,N,N
Benetech PRA,Medical software,N,N
Benfield ReMetrica,Analytical or scientific software,N,N
Bentley AutoPLANT,Computer aided design CAD software,N,N
Bentley GEOPAK Civil Engineering Suite,Computer aided design CAD software,N,N
Bentley GeoPak Bridge,Graphics or photo imaging software,N,N
Bentley Haestad Methods CivilStorm,Computer aided design CAD software,N,N
Bentley I/RAS B,Computer aided design CAD software,N,N
Bentley InRoads Suite,Computer aided design CAD software,N,N
Bentley MicroStation,Computer aided design CAD software,Y,N
Bentley Navigator,Computer aided design CAD software,N,N
Bentley PlantSpace SupportModeler,Computer aided design CAD software,N,N
Bentley STAAD,Computer aided design CAD software,N,N
Bentley SewerCAD,Computer aided design CAD software,N,N
Bentley StormCAD,Analytical or scientific software,N,N
Bentley Systems AutoPIPE,Analytical or scientific software,N,N
Bentley Systems InRoads Suite,Map creation software,N,N
Bentley Systems ProjectWise,Project management software,N,N
Bentley Systems gINT,Analytical or scientific software,N,N
Bentley Transportation Data Manager,Data base user interface and query software,N,N
Bentley WaterCAD,Computer aided design CAD software,N,N
Berkeley Algorithm for Breaking Window Glass in a Compartment Fire BREAK1,Analytical or scientific software,N,N
Berkeley Internet Domain Name BIND,Internet directory services software,N,N
Berkshire Associates BALANCEaap,Human resources software,N,N
Best Case Solutions Best Case Bankruptcy,Document management software,N,N
Best Linear Unbiased Prediction BLUP,Analytical or scientific software,N,N
Best MIP Fund Accounting,Accounting software,N,N
Best Software CPAPayroll,Data base user interface and query software,N,N
Bi3 Audit Intelligence,Compliance software,N,N
Bi3 Financial Statement Fraud Analysis,Financial analysis software,N,N
Bibase 4POS Retail,Point of sale POS software,N,N
Bid Assistant,Calendar and scheduling software,N,N
BidMaster,Project management software,N,N
Biddle Adverse Impact Toolkit,Human resources software,N,N
Biddle AutoAAP,Human resources software,N,N
Bidirectional encoder representations from transformers (BERT),Analytical or scientific software,N,N
BigQuery,Data base user interface and query software,N,N
Bigloo Scheme,Development environment software,N,N
Bilko,Analytical or scientific software,N,N
Bill of lading software,Materials requirements planning logistics and supply chain software,N,N
Bill of materials software,Materials requirements planning logistics and supply chain software,N,N
Bill review software,Billing and invoicing software,N,N
Billing and reimbursement software,Billing and invoicing software,N,N
Billing software,Billing and invoicing software,N,N
Bills of lading software,Materials requirements planning logistics and supply chain software,N,N
Bing,Data base user interface and query software,N,N
Bing Ads,Sales and marketing software,N,Y
Bing for Power BI,Data mining software,N,N
Bio-logic Systems HINT Pro,Medical software,N,N
BioArray Software Environment BASE,Analytical or scientific software,N,N
BioDiscovery ImaGene,Analytical or scientific software,N,N
BioEx Systems Exercise Expert,Data base user interface and query software,N,N
BioEx Systems Exercise Pro,Medical software,N,N
BioEx Systems Fitness Maker,Project management software,N,N
BioEx Systems Nutrition Maker Plus,Medical software,N,N
BioKin PlateKi,Analytical or scientific software,N,N
BioPerl,Analytical or scientific software,N,N
Bioconductor,Analytical or scientific software,N,N
Bioconductor software,Data base user interface and query software,N,Y
Biodegration flow and transport modeling software,Analytical or scientific software,N,N
Biodex Medical Systems Biodex Concussion Manager,Medical software,N,N
Biofeedback software,Medical software,N,N
Bioinformatics databases,Data base user interface and query software,N,N
Biomatters Geneious,Analytical or scientific software,N,N
Biomechanical imaging software,Analytical or scientific software,N,N
Biomechanical injury risk analysis software,Analytical or scientific software,N,N
Biomechanical modeling software,Analytical or scientific software,N,N
Biomedical Imaging Resource Analyze,Medical software,N,N
Biometric Storage System BSS,Data base user interface and query software,N,N
Biometric reader software,Access software,N,N
Biometrics video game software,Action games,N,N
Bioreactor Design,Computer aided design CAD software,N,N
Biostatistical software,Analytical or scientific software,N,N
Bit Debris Solutions Usability Activity Log,Analytical or scientific software,N,N
BitWizard B.V. mtr,Network monitoring software,N,N
Bite analysis software,Analytical or scientific software,N,N
BizBench,Financial analysis software,N,N
BizPricer,Financial analysis software,N,N
Bizlink Salon Manager,Data base user interface and query software,N,N
Bizmatics PrognoCIS EMR,Medical software,N,N
Biztrak Business Solutions Biztrak,Enterprise resource planning ERP software,N,N
BlackBerry Enterprise Server,Operating system software,N,N
BlackDog Recruiting,Human resources software,N,N
BlackHawk Canyon Publishers PracticianWorks,Medical software,N,N
Blackbaud CRM,Customer relationship management CRM software,N,N
Blackbaud Luminate CRM,Customer relationship management CRM software,N,N
Blackbaud The Education Edge,Enterprise resource planning ERP software,N,N
Blackbaud The Financial Edge,Accounting software,N,N
Blackbaud The Raiser's Edge,Customer relationship management CRM software,N,N
Blackbaud eTapestry,Customer relationship management CRM software,N,N
Blackboard Collaborate,Computer based training software,N,N
Blackboard Learn,Computer based training software,N,N
Blackboard Learning System,Computer based training software,N,N
Blackboard Wimba,Presentation software,N,N
Blackboard software,Data base user interface and query software,N,N
Blackdog,Human resources software,N,N
Blast Output Browser BOB,Analytical or scientific software,N,N
Blaster's Tool and Supply Company Blaster's Calculator,Analytical or scientific software,N,N
Blatant Media Absorb LMS,Computer based training software,N,N
Blender,Graphics or photo imaging software,N,N
Blink,Instant messaging software,N,N
Blinkbid,Accounting software,N,N
Block diagram software,Pattern design software,N,N
Blogger,Web page creation and editing software,N,N
Blogging software,Web page creation and editing software,N,N
Blood Bank Computer Systems Blood Bank Control System,Medical software,N,N
Blood bank information systems,Medical software,N,N
Bloomberg Professional,Financial analysis software,N,N
Bloomz,Desktop communications software,N,N
Blue Chip Computer Consultants HumaNET,Human resources software,N,N
Blue Ridge Numerics CFDesign,Analytical or scientific software,N,N
Blue Streak Electronics Buell Diagnostic,Analytical or scientific software,N,N
Blue Tractor Software DNADynamo,Analytical or scientific software,N,N
Blueberry Harbor Software Clinical Record Keeper,Medical software,N,N
Blueprint display software,Graphics or photo imaging software,N,N
Bluewater Management Systems BMCASE,Medical software,N,N
Blumbeg Drafting Libraries,Desktop publishing software,N,N
Blumenthal Software PBSW24,Time accounting software,N,N
BobCAD-CAM,Computer aided manufacturing CAM software,N,N
Boeing Kork Digital Mapping,Analytical or scientific software,N,N
Boeing SoftPlotter,Analytical or scientific software,N,N
Bohemian Coding DrawIt,Graphics or photo imaging software,N,N
Bond International Adapt Staffing,Human resources software,N,N
Bond International Software Bond StaffSuite,Human resources software,N,N
BondDesk Group Trader WorkStation,Financial analysis software,N,N
BookFresh,Calendar and scheduling software,N,N
Booker Software SpaBooker,Data base user interface and query software,N,N
Bookitlive,Data base user interface and query software,N,N
Bookkeeping software,Accounting software,N,N
Bootstrap,Web platform development software,Y,N
Border Gateway Protocol BGP,Switch or router software,Y,N
Boris FX Continuum Complete,Video creation and editing software,N,N
Borland Paradox,Object or component oriented development software,N,N
Borland SilkTest,Program testing software,N,N
Borland VisiBroker,Development environment software,N,N
Bornemann Associates Flight Plan,Aviation ground support software,N,N
Bosch Punch List,Project management software,N,N
Boston Bar Systems Corporation Sonnet,Word processing software,N,N
Bostonpost Technology Property Manager,Data base user interface and query software,N,N
Bottom Line LoanMaster Loan Servicing,Accounting software,N,N
Bottomline Technologies Bottomline Sprinter Purchasing Manager,Procurement software,N,N
Boundary scan description language BSDL,Development environment software,N,N
Boundary scan insertion software,Analytical or scientific software,N,N
Boundary survey software,Map creation software,N,N
Bourne Shell,Operating system software,N,N
Bourque Data Systems YardMaster,Materials requirements planning logistics and supply chain software,N,N
Bowen & Groves M1 ERP,Enterprise resource planning ERP software,N,N
Bowne JFS Litigator's Notebook,Categorization or classification software,N,N
Bowtie,Analytical or scientific software,N,N
BoxShade,Analytical or scientific software,N,N
Bradford ClickFORMS,Graphics or photo imaging software,N,N
Brady Lockout Pro,Data base user interface and query software,N,N
Brady Specimen Labeling System,Label making software,N,N
BrainMetric The Category Test,Medical software,N,N
BrainTrain Captain's Log,Medical software,N,N
BrainTrain IVA+Plus,Computer based training software,N,N
BrainTrain SmartDriver,Action games,N,N
Brainshark Rapid Learning,Computer based training software,N,N
Brainworks,Enterprise resource planning ERP software,N,N
Bramerhill ClaimsTech,Document management software,N,N
Breast Cancer Risk Assessment Tool,Medical software,N,N
Breault Research ASAP,Computer aided design CAD software,N,N
Breedtrak,Data base user interface and query software,N,N
Brentmark Estate Planning Quickview,Financial analysis software,N,N
Brentmark Stock Option Risk Analyzer,Financial analysis software,N,N
Brickell Research Brickell Medical Office,Medical software,N,N
Bridge design software,Computer aided design CAD software,N,N
Bridgeway eCounsel,Data base user interface and query software,N,N
Bridium Claims 3,Document management software,N,N
Brief Psychiatric Rating Scale BPRS Nursing Modification,Medical software,N,N
BrightEdge,Business intelligence and data analysis software,N,N
BrightMove Applicant Tracking System,Human resources software,N,N
BrightWork pmPoint,Project management software,N,N
Brightcove,Web page creation and editing software,N,N
Brightwork Alyce Claims Systems,Document management software,N,N
Brihzon Solutions SMART Dairy Resource Planning,Enterprise resource planning ERP software,N,N
BrioQuery,Data base user interface and query software,N,N
BroadSoft BroadWorks,Desktop communications software,N,N
BroadVision software,Web platform development software,N,N
Broadcast Electronics AudioVAULT FleX,Music or sound editing software,N,N
Brokerage software,Procurement software,N,N
Bruker AXS EVA,Analytical or scientific software,N,N
Bruker AXS LEPTOS,Analytical or scientific software,N,N
Bruker AXS TOPAS,Analytical or scientific software,N,N
Bruker BioSpin TopSpin,Analytical or scientific software,N,N
Bruker Optics OPUS,Analytical or scientific software,N,N
Bruno Realty eNeighboorhoods,Data base user interface and query software,N,N
BtB Software Mycobacteriology Lab,Analytical or scientific software,N,N
Budget monitoring systems,Financial analysis software,N,N
Budgeting software,Accounting software,N,N
"Budgeting, forecasting, and planning software",Enterprise resource planning ERP software,N,N
Bugzilla,Program testing software,N,N
Building Research Establishment BRE Jasmine,Analytical or scientific software,N,N
Building automation software,Industrial control software,N,N
Building management system software,Facilities management software,N,N
Built-in self-test BIST debugging software,Analytical or scientific software,N,N
Bullhorn Applicant Tracking System,Human resources software,N,N
Bungalow Software Aphasia Tutor,Medical software,N,N
Bunkspeed HyperDrive,Graphics or photo imaging software,N,N
Bunkspeed HyperMove,Graphics or photo imaging software,N,N
Burli Software Burli Newsroom System,Word processing software,N,N
Burrows-Wheeler Aligner BWA,Analytical or scientific software,N,N
Business Forecast Systems Forecast Pro,Financial analysis software,N,N
Business Management Systems Municipal Geographic Management System MGMS,Data base user interface and query software,N,N
Business Objects Data Integrator,Development environment software,N,N
Business accounting software,Accounting software,N,N
Business analysis software,Analytical or scientific software,N,N
Business continuity software,Enterprise resource planning ERP software,N,N
Business intelligence software,Business intelligence and data analysis software,N,N
Business intelligence system software,Business intelligence and data analysis software,N,N
Business management software,Data base user interface and query software,N,N
Business performance management BPM software,Enterprise resource planning ERP software,N,N
Business process management BPM software,Enterprise resource planning ERP software,N,N
Business software applications,Office suite software,N,Y
Byrne Software Technologies Visual HCS,Human resources software,N,N
Bytescribe Development Company WavPlayer,Word processing software,N,N
C,Development environment software,Y,N
C for Graphics cg,Development environment software,N,N
C shell,Operating system software,N,N
C#,Object or component oriented development software,Y,N
C++,Object or component oriented development software,Y,N
C-DESIGN Fashion,Computer aided design CAD software,N,N
CA Clarity PPM,Enterprise resource planning ERP software,N,N
CA Easytrieve Report Generator,Manufacturing execution system MES software,N,N
CA IDMS,Data base management system software,N,N
CA SiteMinder,Network security or virtual private network VPN management software,N,N
CA Technologies CA Clarity PPM for IT Governance,Project management software,N,N
CA Technologies ERWin Data Modeler,Metadata management software,N,N
CA eTrust,Transaction security and virus protection software,N,N
CAD Zone Insurance,Computer aided design CAD software,N,N
CADAFIS,Data base user interface and query software,N,N
CADRE Analytic,Analytical or scientific software,N,N
CAI Software Seasoft,Accounting software,N,N
CAM Commerce Solutions Retail STAR Point of Sale POS,Point of sale POS software,N,N
CAMA Software Quality Collaboration By Design QCBD,Industrial control software,N,N
CAP Automation SellWise,Point of sale POS software,N,N
CAP88-PC,Analytical or scientific software,N,N
CAPE Systems CAPE PACK,Materials requirements planning logistics and supply chain software,N,N
CAPE Systems TRUCKFILL,Materials requirements planning logistics and supply chain software,N,N
CAPSHER Technology SureTec,Industrial control software,N,N
CAPSYS Capture,Analytical or scientific software,N,N
CARIS HIPS,Analytical or scientific software,N,N
CARIS SIPS,Analytical or scientific software,N,N
CAST SQL Builder,Data base management system software,N,N
CATNYP,Library software,N,N
CAzM,Analytical or scientific software,N,N
CBORD Foodservice Suite,Data base user interface and query software,N,N
CBORD Group Menu Management System,Inventory management software,N,N
CBORD NetRecipe,Data base user interface and query software,N,N
CBORD Nutrition Service Suite,Data base user interface and query software,N,N
CBS ProLog Manager,Project management software,N,N
CCBill,Point of sale POS software,N,N
CCC EZNet electronic communications network,Access software,N,N
CCC GuidePost Decision Support,Expert system software,N,N
CCC Pathways Appraisal Quality Solution,Enterprise resource planning ERP software,N,N
CCC Pathways Image Management Solution,Document management software,N,N
CCC TL2000 Solution,Document management software,N,N
CCH ProSystem fx TAX,Tax preparation software,N,N
CCI NewsGate,Web page creation and editing software,N,N
CCIS AccountAbility,Accounting software,N,N
CCP4,Analytical or scientific software,N,N
CD-adapco STAR-CAD,Computer aided design CAD software,N,N
CDA International Manifold System,Map creation software,N,N
CDC Supply Chain,Materials requirements planning logistics and supply chain software,N,N
CDI Electronics M.E.D.S.,Analytical or scientific software,N,N
CE SURVEYOR III,Analytical or scientific software,N,N
CEBOS MQ1 software,Industrial control software,N,N
CEDAS Gateway,Materials requirements planning logistics and supply chain software,N,N
CEEJS The Pet Groomer's Secretary,Data base user interface and query software,N,N
CERC EMIT,Analytical or scientific software,N,N
CERN Physics Analysis Workstation PAW,Analytical or scientific software,N,N
CERN ROOT,Analytical or scientific software,N,N
CESARE Risk,Analytical or scientific software,N,N
CGG HampsonRussell,Analytical or scientific software,N,N
CGI INSideOUT,Document management software,N,N
CGI-AMS BureauLink Enterprise,Information retrieval or search software,N,N
CGI-AMS CACS Enterprise,Financial analysis software,N,N
CGI-AMS Strata,Financial analysis software,N,N
CGTech Vericut CNC,Computer aided manufacturing CAM software,N,N
CISCO Software ACS Animal Control System,Data base user interface and query software,N,N
CLO Virtual Fashion Marvelous Designer,Computer aided design CAD software,N,N
CMA Stuffers,Expert system software,N,N
CMO Compliance Regulatory Compliance Solution,Compliance software,N,N
CMS Consultants WorldLink,Materials requirements planning logistics and supply chain software,N,N
CMSN FieldPAK,Data base user interface and query software,N,N
CMT CogoCAD,Analytical or scientific software,N,N
CMT Incorporated CogoCAD,Computer aided design CAD software,N,N
CMake,Development environment software,N,N
CNC Consulting Machinists' Calculator,Analytical or scientific software,N,N
CNC Mastercam,Computer aided manufacturing CAM software,N,N
CNC Software Mastercam,Computer aided manufacturing CAM software,N,N
COADE CADWorx P&ID,Computer aided design CAD software,N,N
COADE CAESAR II,Analytical or scientific software,N,N
COATSsql,Human resources software,N,N
CODA Engine Analysis System,Analytical or scientific software,N,N
CODESYS,Industrial control software,N,N
COMCON DataFriend,Presentation software,N,N
COMSOL Multiphysics,Analytical or scientific software,N,N
COOP Systems myCOOP,Enterprise resource planning ERP software,N,N
COWGAME,Analytical or scientific software,N,N
CP2K,Analytical or scientific software,N,N
CPMD,Analytical or scientific software,N,N
CPR International GeneralCOST Estimator,Accounting software,N,N
CPR Software FloorCOST Estimator for Excel,Project management software,N,N
CPR Visual Estimator,Financial analysis software,N,N
CPSI CPSI System,Medical software,N,N
CPSI EHR System,Human resources software,N,N
CPU Tracker Software CPU Tracker,Customer relationship management CRM software,N,N
CQ Press Political Reference Suite,Data base user interface and query software,N,N
CQG Integrated Client,Financial analysis software,N,N
CRI-MAP,Analytical or scientific software,N,N
CRIMPERS Management Software CRIMPERS Salon Software,Data base user interface and query software,N,N
CS Odessa ConceptDraw Project,Project management software,N,N
CSC Automated Work Distributor AWD,Access software,N,N
CSC Colossus,Financial analysis software,N,N
CSC Elmer,Analytical or scientific software,N,N
CSC Fault Evaluator,Expert system software,N,N
CSC nbAccelerator,Enterprise resource planning ERP software,N,N
CSI Complex Systems ClientTrade,Customer relationship management CRM software,N,N
CSI Software Spa Management,Data base user interface and query software,N,N
CSI WSE CodeBuddy,Compliance software,N,N
CSR Consultants Cemetery Management SC,Data base user interface and query software,N,N
CSS CLS-2000,Medical software,N,N
CST Microwave Studio,Computer aided design CAD software,N,N
CT Summation iBlaze,Document management software,N,N
CT hCue,Document management software,N,N
CU Connect processing software,Access software,N,N
CUBIC,Analytical or scientific software,N,N
CVTracer,Human resources software,N,N
CYMA IV Accounting for Windows,Accounting software,N,N
Cabinet NG CNG-SAFE,Document management software,N,N
CableSoft LiveWire Trader,Financial analysis software,N,N
Cadcorp desktop GIS,Geographic information system,N,N
Cadem CAPSMill,Computer aided manufacturing CAM software,N,N
Cadem CAPSTurn,Computer aided manufacturing CAM software,N,N
Cadem NCnet,Computer aided manufacturing CAM software,N,N
Cadem seeNC Mill,Computer aided manufacturing CAM software,N,N
Cadence Allegro Design Entry Capture and Capture CIS,Computer aided design CAD software,N,N
Cadence Allegro PCB Designer,Computer aided design CAD software,N,N
Cadence Concept,Computer aided design CAD software,N,N
Cadence Dracula,Analytical or scientific software,N,N
Cadence Encounter RTL Compiler,Compiler and decompiler software,N,N
Cadence Encounter Test,Computer aided design CAD software,N,N
Cadence Incisive Enterprise Simulator,Analytical or scientific software,N,N
Cadence Incisive Enterprise Specman Elite Testbench,Analytical or scientific software,N,N
Cadence Opus,Development environment software,N,N
Cadence OrCAD PSpice,Analytical or scientific software,N,N
Cadence OrCAD software,Computer aided design CAD software,N,N
Cadence PSpice,Analytical or scientific software,N,N
Cadence Schematic Composer,Computer aided design CAD software,N,N
Cadence Solutions extendedReach,Medical software,N,N
Cadence Virtuoso Layout Suite,Computer aided design CAD software,N,N
Cadence Virtuoso Spectre Circuit Simulator,Analytical or scientific software,N,N
Cadre Technologies Accuplus Integrated Distribution Logistics System,Materials requirements planning logistics and supply chain software,N,N
Cadre Technologies Cadence Transportation Management System,Materials requirements planning logistics and supply chain software,N,N
Cadre Technologies Cadence Warehouse Management System,Materials requirements planning logistics and supply chain software,N,N
Cadsoft Design/Build,Computer aided design CAD software,N,N
Cadwell Laboratories Easy,Medical software,N,N
Cafe Cartel Systems,Point of sale POS software,N,N
Cakewalk SONAR,Music or sound editing software,N,N
Calculating optimum maintenance parameters COMPARE,Analytical or scientific software,N,N
Calendar management software,Calendar and scheduling software,N,N
Calendar software,Calendar and scheduling software,N,N
Caliban Mindwear HyperGASP,Presentation software,N,N
Calibration software,Analytical or scientific software,N,N
California Infinite LPS,Financial analysis software,N,N
California Verbal Learning Test,Medical software,N,N
Caligari Corporation trueSpace,Graphics or photo imaging software,N,N
Caliper Maptitude,Geographic information system,N,N
Caliper TransCAD,Computer aided design CAD software,N,N
Call accounting software,Helpdesk or call center software,N,N
Call center software,Helpdesk or call center software,N,N
Call tracking software,Helpdesk or call center software,N,N
Call-processing language CPL,Development environment software,N,N
Callidus TrueComp,Human resources software,N,N
Calypso Technology Calypso Asset Management,Financial analysis software,N,N
Calyx Point,Financial analysis software,N,N
CambridgeSoft ChemOffice Ultra,Data base user interface and query software,N,N
Camera Bits Photo Mechanic,Graphics or photo imaging software,N,N
Camfit Data Limited Microfit,Analytical or scientific software,N,N
Cammack Computations Inter-Est,Financial analysis software,N,N
Camp Software Art Licensing Manager,Data base user interface and query software,N,N
Campaign Monitor,Desktop publishing software,N,N
Camstar Manufacturing Execution System MES,Industrial control software,N,N
Camstar Systems Camstar Semiconductor Suite,Industrial control software,N,N
CancerGene,Medical software,N,N
Candidate screening software,Human resources software,N,N
Candidate tracking software,Human resources software,N,N
Canonical Launchpad,Data base user interface and query software,N,N
Canorus,Music or sound editing software,N,N
Cantovation Sing & See,Computer based training software,N,N
Canu,Development environment software,N,N
Canva,Graphics or photo imaging software,Y,N
Canyon Solutions Jcats,Project management software,N,N
Capacity planning software,Requirements analysis and system architecture software,N,N
Capital Codeworks MenuMax,Enterprise resource planning ERP software,N,N
Captaris Alchemy,Document management software,N,N
Capterra Enterprise Resource Planning,Enterprise resource planning ERP software,N,N
Captiva InputAccel,Document management software,N,N
Card key management software,Access software,N,N
Care Paths eRecord,Medical software,N,N
CareCentric MestaMed,Medical software,N,N
CareCloud Central,Medical software,N,N
CareOne CareEnsure,Customer relationship management CRM software,N,N
Career Cruising,Data base user interface and query software,N,N
Career Dimensions Focus 2,Analytical or scientific software,N,N
